post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine.jpg,id_import,codice_opera,post_status
catalogo,10014,1951-1952 3,Senza titolo / (Untitled),1951-1952,glazed polychrome ceramic ,60 x 20 cm,Sculptures,,,,1951-1952_3.jpg,14,14,publish
catalogo,10018,1953 9,Senza titolo / (Untitled),circa 1953 ,terracotta,25 x 15 x 7 cm   ,Sculptures,,,,1953_9.jpg,18,18,publish
catalogo,10020,1953 11,Senza titolo / (Untitled),circa 1953 ,terracotta,,Sculptures,,,,1953_11.jpg,20,20,publish
catalogo,10027,1951-1952 9,Senza titolo / (Untitled),1951-1952,glazed ceramic,"63 x 20,5 x 23 cm",Sculptures,,,,1951-1952_9.jpg,27,27,publish
catalogo,10034,1959-1960 13,Catenelle / (Little Chains),1959-1960,brass,,Sculptures,,,,1959-1960_13.jpg,34,34,publish
catalogo,10083,1951-1952 1,Kore ,1951-1952,glazed ceramic,h. 50 cm,Sculptures,,,,1951-1952_1.jpg,83,83,publish
catalogo,10084,1955 4,Senza titolo / (Untitled),circa 1955,terracotta,25 x 7 x 7 cm   ,Sculptures,,,,1955_4.jpg,84,84,publish
catalogo,10094,1960 1,Liù ,1960,brass and glass and bronze,"21 x 6 x 3,5 cm",Sculptures,,,,1960_1.jpg,94,94,publish
catalogo,10138,1955-1956 5,Kore ,1955-1956,glazed ceramic,h. 108 cm ,Sculptures,,,,1955-1956_5.jpg,138,138,publish
catalogo,10161,1955-1956 11,Kore ,1955-1956,glazed polychrome ceramic ,"43,5 x 9 x 6,5 cm",Sculptures,,,,1955-1956_11.jpg,161,161,publish
catalogo,10174,1959 5,Senza titolo / (Untitled),circa 1959,brass,50 x 20 cm,Sculptures,,,,1959_5.jpg,174,174,publish
catalogo,10192,1955-1956 4,Kore ,1955-1956 ,glazed ceramic,h. 101 cm,Sculptures,,,,1955-1956_4.jpg,192,192,publish
catalogo,10194,1959 6,Senza titolo / (Untitled),circa 1959,brass,35 x 15 cm,Sculptures,,,,1959_6.jpg,194,194,publish
catalogo,10204,1955-1956 7,Kore ,1955-1956,glazed ceramic,h. 103 cm,Sculptures,,,,1955-1956_7.jpg,204,204,publish
catalogo,10212,1959 7,Senza titolo / (Untitled),circa 1959 ,brass,40 x 20 cm,Sculptures,,,,1959_7.jpg,212,212,publish
catalogo,10216,1959-1960 2,Senza titolo - Tre cerchi / (Untitled - Three Circles),1959-1960,brass,37 x 16 cm,Sculptures,,,,1959-1960_2.jpg,216,216,publish
catalogo,10242,1960 9,Uomini superuomini dei / (Men Supermen Gods),1960,brass,,Sculptures,,,,1960_9.jpg,242,242,publish
catalogo,10243,1953 10,Senza titolo / (Untitled),circa 1953,terracotta,"24,8 x 6,5 x 8 cm",Sculptures,,,,1953_10.jpg,243,243,publish
catalogo,10262,1959-1960 14,Senza titolo - Tre cerchi / (Untitled - Three Circles),1959-1960,brass,45 x 13 x 9 cm,Sculptures,,,,1959-1960_14.jpg,262,262,publish
catalogo,10300,1955 9,Kore ,circa 1955,glazed ceramic,h. 101 cm,Sculptures,,,,1955_9.jpg,300,300,publish
catalogo,10380,1959-1960 1,Pendolo / (Pendulum),1959-1960,brass (prototype),16 x 16 x 4 cm,Sculptures,,,   ,1959-1960_1.jpg,380,380,publish
catalogo,10381,1959-1960 4,Pendolo / (Pendulum),1959-1960,brass and glazed ceramic,35 x 11 x 7 cm,Sculptures,,,,1959-1960_4.jpg,381,381,publish
catalogo,10397,1959-1960 3,Senza titolo - Tre cerchi / (Untitled - Three Circles),1959-1960,brass,"37 x 17,5 x 12 cm",Sculptures,,,,1959-1960_3.jpg,397,397,publish
catalogo,10418,1955 12,Kore ,circa 1955,glazed ceramic,h. 101 cm,Sculptures,,,,1955_12.jpg,418,418,publish
catalogo,10484,1959 4,Senza titolo / (Untitled),circa 1959,brass,50 x 13 x 10 cm,Sculptures,,,,1959_4.jpg,484,484,publish
catalogo,10558,1951-1952 6,Senza titolo / (Untitled),1951-1952,glazed polychrome ceramic,62 x 16 x 16 cm,Sculptures,,,,1951-1952_6.jpg,558,558,publish
