post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,10002,1973 65,Virgulto / (Offshoot),1973,brass,"36 x 20,5 x 13 cm",Sculptures,,,,1973_65.jpg,10002,2,publish
catalogo,10006,1974 33,Eclisse seconda / (Second Eclipse),1974,stainless steel  ,"45,5 x 18 x 12 cm",Sculptures,,,Edition of 100 + 20 AP,1974_33.jpg,10006,6,publish
catalogo,10008,1971 33,L'amore / (The Love),1971,brass (prototype),"34 x 10,8 x 10,5 cm",Sculptures,,, ,1971_33.jpg,10008,8,publish
catalogo,10013,1978 36,Perché? / (Why?),1978,brass,43 x 47 x 20 cm,Sculptures,,,,1978_36.jpg,10013,13,publish
catalogo,10019,1973 39,Per aria / (Into the air),1973,brass,70 x 25 x 22 cm,Sculptures,,,,1973_39.jpg,10019,19,publish
catalogo,10025,1975 30,Bagatelle,1975,brass,"62 x 13,5 x 12,5 cm",Sculptures,,,,1975_30.jpg,10025,25,publish
catalogo,10032,1980 23,Tema e variazioni IX / (Theme and Variations IX),1980,brass,48 x 60 x 13 cm,Sculptures,,, ,1980_23.jpg,10032,32,publish
catalogo,10033,1970 5,Paesaggio / (Landscape),1970,brass ,53 x 44 x 38 cm,Sculptures,,,,1970_5.jpg,10033,33,publish
catalogo,10039,1972 66,Tema e variazioni V / (Theme and Variations V),1972,brass on stainless steel base,53 x 80 x 40 cm,Sculptures,,,,1972_66.jpg,10039,39,publish
catalogo,10055,1982 16,Incertezza / (Uncertainty),1982,brass (prototype),"18 x 10 x 7,5 cm",Scultura,,,,1982_16.jpg,10055,55,publish
catalogo,10056,1978 29,Senza titolo / (Untitled),1978,brass and painted paper ,"58,5 x 26 x 25 cm ",Sculptures,,,,1978_29.jpg,10056,56,publish
catalogo,10057,1976 37,Senza titolo / (Untitled),1976,"wood, fabric, brass and copper net","65 x 80  x 12,5 cm",Little Theaters,,,,1976_37.jpg,10057,57,publish
catalogo,10058,1981 17,La fuggitiva / (The Runaway),1981,brass,71 x 61 x 20 cm,Sculptures,,,,1981_17.jpg,10058,58,publish
